Make,Model,Type,LowPrice,HighPrice,CityMPG,HwyMPG,Seating,Drive,Acc030,Acc060,QtrMile,Braking,FuelCap,Length,Width,Height,Wheelbase,UTurn,Weight,Size
Acura,MDX,SUV,44.400,60.150,14,31,7,AWD,2.8,6.8,15.3,135,19.5,196,77,67,111,40,4200,Midsized
Acura,RLX,Sedan,54.900,61.000,15,36,5,AWD,2.7,6.5,15.0,128,18.5,198,74,58,112,40,3930,Midsized
Audi,A3,Sedan,33.300,43.000,18,40,5,AWD,3.2,8.3,16.4,124,13.2,175,70,56,104,37,3135,Small
Audi,A4,Sporty,37.400,45.700,18,40,5,AWD,2.7,6.3,14.9,135,15.3,186,73,56,111,40,3630,Small
Audi,A6,Sedan,54.900,73.900,17,39,5,AWD,2.8,6.8,15.3,129,19.3,195,74,57,115,38,4015,Midsized
Audi,A8,Wagon,83.800,83.800,20,27,5,AWD,2.4,6.1,14.5,133,21.7,209,77,59,123,43,4810,Large
Audi,Q3,SUV,34.700,36.000,15,33,5,AWD,3.2,7.8,16.1,126,15.9,177,73,63,106,40,3880,Small
Audi,TT,Sporty,45.500,54.500,18,35,4,AWD,2.5,6.7,14.8,113,14.5,165,72,53,99,36,3140,Small
BMW,3 Series,Sedan,40.750,56.000,19,44,5,AWD,2.6,6.4,14.8,129,15.6,186,72,57,112,41,3640,Small
BMW,5 series,Sedan,53.900,110.000,16,40,5,AWD,2.9,7.2,15.5,130,17.9,195,74,58,117,42,3950,Midsized
BMW,7 Series,Sedan,86.450,151.700,14,33,5,AWD,2.4,5.3,13.6,131,20.6,207,75,58,126,43,4710,Large
BMW,X1,SUV,35.200,37.300,17,37,5,AWD,3.5,7.9,16.3,134,16.1,175,72,63,105,39,3725,Small
BMW,Z4,Sporty,49.700,63.700,20,40,2,RWD,2.7,6.1,14.6,111,13.7,171,73,51,97,37,3290,Small
Buick,Enclave,SUV,40.000,56.100,12,26,7,AWD,3.1,7.4,15.8,130,21.7,204,79,70,121,41,4690,Large
Buick,Envision,SUV,31.995,43.600,14,31,5,AWD,2.9,7.9,16.1,128,17.3,184,72,67,108,38,4050,Small
Buick,Regal,Sedan,25.370,39.070,15,34,5,AWD,2.9,7.0,15.3,125,16.5,193,73,57,111,39,2680,Midsized
Buick ,Encore,SUV,23.300,30.800,16,32,5,AWD,3.8,11.0,18.3,127,14.0,168,70,65,101,38,3355,Small
Cadillac,Escalade,SUV,75.195,98.295,10,23,8,AWD,2.2,6.1,14.5,142,26.0,204,81,74,116,41,5820,Large
Cadillac,XT4,SUV,35.695,42.295,16,31,5,AWD,3.0,7.6,15.9,128,16.3,181,77,63,109,39,3939,Small
Cadillac,XT5,SUV,44.095,55.095,13,30,5,AWD,2.7,7.1,15.6,132,22.0,190,76,66,113,42,3500,Midsized
Cadillac,XT6,Sporty,52.695,57.095,12,26,7,AWD,3.0,7.1,15.6,134,21.7,199,77,69,113,41,4585,Midsized
Chevrolet,Camaro,Sporty,25.000,68.000,13,28,4,RWD,2.0,4.4,12.7,112,17.9,188,75,53,111,40,3730,Midsized
Chevrolet,Corvette,Sporty,55.900,125.400,14,28,2,RWD,2.0,4.3,12.6,107,18.0,177,74,49,107,38,3470,Small
Chevrolet,Impala,Sedan,31.620,36.720,14,34,5,FWD,2.9,6.9,15.5,130,18.5,201,73,59,112,40,3855,Large
Chevrolet,Malibu,Sedan,22.095,33.320,19,41,5,FWD,3.1,8.4,16.6,130,13.0,194,73,58,112,38,3125,Midsized
Chevrolet,Spark,Hatchback,13.220,17.720,23,44,4,FWD,4.5,12.0,19.0,128,9.0,143,63,58,94,35,2280,Small
Chevrolet,Suburban,SUV,49.700,68.500,10,23,9,AWD,2.9,7.9,16.2,139,26.0,224,81,74,130,45,5945,Large
Chevrolet,Tahoe,SUV,46.800,65.700,10,23,9,AWD,2.8,7.7,15.9,136,26.0,204,81,74,116,41,5635,Large
Chevrolet,Traverse,SUV,29.600,53.200,14,28,8,AWD,3.0,7.3,15.7,130,21.7,204,79,71,121,40,4695,Large
Chevrolet ,Blazer,SUV,28.800,45.600,13,27,5,AWD,2.7,6.4,15.0,130,21.7,191,77,67,113,40,4235,Midsized
Chrysler,300,Sedan,29.590,41.995,15,32,5,AWD,3.2,7.4,15.8,137,18.5,199,75,58,120,40,4095,Large
Chrysler,Pacifica,Minivan,33.745,45.845,13,33,7,FWD,3.1,8.0,16.2,136,19.0,204,80,70,122,41,4535,Midsized
Dodge,Durango,SUV,30.495,62.995,12,25,7,AWD,3.1,8.3,16.4,134,25.0,200,76,71,120,41,5105,Large
Dodge,Journey,SUV,23.495,28.595,11,25,7,AWD,3.2,8.1,16.4,139,21.0,192,72,68,114,41,4410,Midsized
Dodge ,Challenger,Sporty,27.995,58.995,14,27,5,AWD,2.3,5.5,13.9,119,18.5,198,76,57,116,40,4190,Large
Dodge ,Charger,Sedan,29.895,69.645,13,31,5,AWD,2.5,6.1,14.5,128,18.5,201,75,58,120,39,4335,Large
Dodge ,Grand Caravan,Minivan,27.295,35.535,11,27,7,FWD,3.3,8.1,16.5,141,20.0,203,79,68,121,42,4685,Large
Fiat,500L,Hatchback,22.500,24.645,18,37,5,FWD,3.9,9.5,17.4,132,13.1,167,70,66,103,37,3330,Small
Ford,Escape,SUV,24.885,38.835,17,37,5,AWD,3.3,8.9,16.9,128,15.7,181,74,69,107,39,3530,Small
Ford,Expedition,SUV,48.990,80.110,11,23,8,AWD,2.7,7.3,15.7,143,28.3,222,82,76,132,45,6035,Large
Ford,Explorer,SUV,32.765,58.250,14,29,8,AWD,3.1,7.4,16.0,136,17.9,199,79,70,119,40,4565,Large
Ford,Fusion,Sedan,23.170,37.000,16,34,5,AWD,3.2,9.2,17.0,125,16.5,192,73,58,112,38,3505,Midsized
Ford,Mustang,Sporty,26.670,70.300,13,27,4,RWD,2.1,4.9,13.4,121,16.0,188,75,54,107,39,3845,Midsized
Ford ,EcoSport,SUV,20.485,27.715,17,31,5,AWD,3.9,10.7,18.1,132,13.6,161,70,65,99,36,3390,Small
GMC,Terrain,SUV,25.000,39.900,14,30,5,AWD,2.8,7.2,15.6,128,15.6,182,72,65,107,39,3800,Small
GMC ,Acadia,SUV,29.800,48.300,13,28,8,AWD,2.6,6.8,15.4,130,22.0,193,75,67,113,40,4395,Midsized
GMC ,Yukon,SUV,50.600,70.700,10,23,9,AWD,2.8,7.7,15.9,136,26.0,204,81,74,116,41,5635,Large
Honda,Passport,SUV,31.990,43.780,14,28,5,AWD,2.5,6.4,15.0,135,19.5,191,79,72,111,40,4170,Midsized
Honda ,Accord,Sedan,23.870,36.100,21,42,5,FWD,3.1,7.7,16.1,135,14.8,192,73,57,111,39,3155,Midsized
Honda ,CR-V,SUV,25.050,34.750,20,37,5,AWD,3.4,8.2,18.5,137,14.0,181,73,67,105,38,3450,Small
Honda ,Odyssey,Minivan,30.690,47.320,14,33,8,FWD,3.4,8.1,16.4,136,19.5,203,79,68,118,41,4490,Large
Honda ,Pilot,SUV,31.550,49.620,13,28,8,AWD,3.2,7.5,15.9,136,19.5,197,79,71,110,41,4280,Midsized
Hyundai,Accent,Sedan,15.195,19.300,22,47,5,FWD,3.7,9.9,17.5,128,11.9,173,68,57,102,35,2625,Small
Hyundai,Elantra,Sedan,18.950,24.600,21,49,5,FWD,3.8,9.9,17.6,133,14.0,182,71,57,106,36,2865,Small
Hyundai,Kona,SUV,20.100,45.200,18,34,5,AWD,4.0,11.1,18.3,129,13.2,164,71,61,102,36,3145,Small
Hyundai,Santa Fe,SUV,25.900,39.200,14,31,5,AWD,3.3,8.7,16.7,136,18.8,188,74,66,109,39,4015,Midsized
Hyundai,Sonata,Sedan,23.400,33.300,18,42,5,FWD,3.4,8.3,16.6,129,18.5,191,73,58,110,37,3305,Midsized
Hyundai,Veloster,Sporty,18.600,28.150,21,39,4,FWD,2.7,7.0,15.2,119,13.2,167,71,55,104,36,2795,Small
Infiniti,Q50,Sedan,36.400,56.250,14,32,5,AWD,2.4,5.7,14.2,126,20.0,190,72,57,112,39,3875,Small
Infiniti,QX60,SUV,44.350,48.150,13,26,7,AWD,3.5,8.3,16.5,137,19.5,201,77,69,114,41,4530,Midsized
Jaguar,E-Pace,SUV,39.950,52.950,15,29,5,AWD,3.1,7.9,16.3,129,18.1,173,82,65,106,39,4130,Small
Jaguar,XF,Sedan,51.100,71.800,14,30,5,AWD,2.3,5.8,14.2,128,19.5,195,78,58,117,39,4175,Midsized
Jeep,Compass,SUV,22.105,29.905,16,35,5,AWD,3.6,9.8,17.5,137,13.5,173,74,65,104,38,3525,Small
Jeep,Grand Cherokee,SUV,32.045,86.900,12,24,5,AWD,3.0,8.0,16.2,134,24.6,190,77,68,115,40,4900,Midsized
Kia,Cadenza,Sedan,33.100,44.100,16,36,5,FWD,2.9,7.0,15.3,127,18.5,196,74,58,112,39,3725,Midsized
Kia,Forte,Sedan,17.790,22.890,22,49,5,FWD,3.6,8.3,16.7,131,14.0,183,71,57,106,36,2805,Small
Kia,Optima,Sedan,23.190,36.090,18,40,5,FWD,3.3,8.0,16.3,130,18.5,191,73,58,110,37,3300,Midsized
Kia,Rio,Sedan,15.750,16.690,22,48,5,FWD,3.6,9.6,17.3,131,11.9,173,68,57,102,35,2575,Small
Kia,Soul,Wagon,17.490,27.490,21,35,5,FWD,3.5,8.8,16.9,120,14.3,165,71,63,102,36,2995,Small
Land Rover,Range Evoque,SUV,42.650,56.850,13,29,5,AWD,3.2,8.3,16.6,126,17.7,172,79,65,106,39,4235,Small
Lexus,GS,Sedan,51.065,85.010,13,32,5,AWD,2.6,6.2,14.7,137,17.5,192,72,57,112,37,3845,Midsized
Lexus,LS,Sedan,75.450,100.865,12,32,5,AWD,2.4,6.0,14.4,136,21.7,206,75,58,123,41,5170,Large
Lexus,RX,SUV,44.150,56.460,14,31,5,AWD,2.9,7.5,15.8,139,19.2,193,75,68,110,40,4435,Midsized
Lincoln,Aviator,SUV,51.100,87.800,12,28,7,AWD,2.5,6.2,14.8,138,20.2,199,80,70,119,41,5065,Midsized
Lincoln,Navigator,SUV,75.825,99.970,11,22,8,AWD,2.4,6.2,14.7,144,28.3,210,84,76,123,42,6100,Large
Mazda,3,Sedan,21.500,28.900,20,44,5,AWD,3.0,7.7,16.1,125,13.2,184,71,57,107,37,3025,Small
Mazda,6,Sedan,24.000,35.300,18,42,5,FWD,3.6,9.2,17.2,133,16.4,192,72,57,111,38,3405,Midsized
Mazda,CX-3,SUV,20.640,22.040,20,36,5,AWD,3.5,9.6,17.4,135,11.9,168,70,61,101,36,2945,Small
Mazda,CX-9,SUV,33.790,46.115,15,32,7,AWD,3.1,7.9,16.3,139,20.1,200,76,68,113,40,4586,Midsized
Mazda ,Miata-MX5,Sporty,25.730,37.995,25,42,2,RWD,2.2,6.7,15.1,124,11.9,154,68,49,91,32,2335,Small
Mercedes,C-Class,Sedan,41.400,84.900,18,35,5,AWD,2.7,6.8,15.2,136,17.4,185,71,57,112,38,3670,Small
Mercedes,GLC,SUV,42.500,84.100,15,31,5,AWD,2.7,6.8,15.4,132,17.4,183,74,65,113,40,4010,Small
Mitsubishi,Mirage,Hatchback,13.995,17.745,28,47,5,FWD,4.4,12.1,19.0,138,9.2,149,66,59,97,32,2085,Small
Nissan,Altima,Sedan,24.100,35.180,20,45,5,AWD,3.1,7.6,15.9,131,16.2,193,73,57,111,38,3240,Midsized
Nissan,Murano,SUV,31.530,45.330,15,29,5,AWD,3.4,7.7,16.0,131,19.0,192,75,67,111,40,4025,Midsized
Nissan,Pathfinder,SUV,31.680,44.610,13,25,7,AWD,3.2,7.7,16.0,137,19.5,199,77,70,111,40,4505,Midsized
Nissan,Rogue,SUV,25.300,33.040,17,30,5,AWD,3.7,9.5,17.3,134,14.5,185,72,66,107,38,3590,Small
Nissan,Sentra,Sedan,17.990,26.040,21,42,5,FWD,3.9,10.4,18.0,129,13.3,182,69,59,106,36,2865,Small
Nissan,Versa,Sedan,12.460,16.090,23,40,5,FWD,4.0,10.6,18.1,140,11.3,175,67,60,102,38,2430,Small
Porche,911,Sporty,113.300,133.400,16,32,4,AWD,1.6,4.1,12.4,108,16.9,177,71,51,96,37,3235,Small
Porche,Cayenne,SUV,66.800,164.400,15,29,5,AWD,2.8,6.5,14.9,131,23.8,194,78,67,114,41,4680,Midsized
Subaru,Crosstrek,SUV,22.145,35.145,20,39,5,AWD,4.0,10.2,17.8,125,16.6,176,71,64,105,37,3190,Small
Subaru,Forester,SUV,24.495,34.595,20,38,5,AWD,3.7,9.2,17.2,130,16.6,182,72,68,105,36,3485,Small
Subaru,Impreza,Sedan,18.695,26.295,21,41,5,AWD,3.8,9.5,17.3,124,13.2,182,70,57,105,37,3085,Small
Subaru,Outback,Wagon,26.645,39.695,16,32,5,AWD,3.0,7.1,15.5,132,18.5,191,73,66,108,38,3915,Midsized
Subaru ,Legacy,Sedan,22.745,35.895,17,39,5,AWD,4.1,10.2,17.8,128,18.5,189,72,59,108,39,3470,Midsized
Toyota,Corolla,Sedan,19.600,25.550,23,45,5,FWD,4.5,10.4,18.1,134,13.2,182,70,57,106,37,2960,Small
Toyoto,4Runner,SUV,36.120,49.865,12,24,7,AWD,3.0,7.7,16.1,131,23.0,190,76,72,110,45,4665,Midsized
Toyoto,Camry,Sedan,24.425,35.130,20,49,5,AWD,3.2,8.0,16.3,126,16.0,192,72,57,111,39,3340,Midsized
Toyoto,Highlander,SUV,31.330,48.630,15,31,8,AWD,2.8,7.4,15.8,134,19.2,193,76,70,110,42,4570,Midsized
Toyoto,Rav4,SUV,25.950,36.880,19,38,5,AWD,3.1,8.3,16.5,131,14.5,181,73,67,106,37,3510,Small
Toyoto,Sequioa,SUV,49.980,69.245,10,21,8,AWD,2.7,7.1,15.6,146,26.4,205,80,75,122,42,6025,Large
Toyoto,Sienna,Minivan,31.565,49.340,14,30,8,AWD,3.2,7.7,16.0,137,20.9,201,78,71,119,39,4550,Large
Toyoto,Yaris,Sedan,15.650,18.750,24,48,5,FWD,3.8,10.3,17.9,139,11.6,172,67,59,101,34,2420,Small
Volkswagon,Golf,Hatchback,23.195,37.295,19,38,5,AWD,3.2,8.7,16.7,130,13.2,168,71,57,104,37,3090,Small
Volkswagon,Jetta,Sedan,18.895,27.945,21,54,5,FWD,3.6,9.0,17.0,135,13.2,185,71,57,106,38,3065,Small
Volkswagon,Passat,Sedan,22.995,31.095,19,39,5,FWD,3.1,8.6,16.6,129,18.5,192,72,59,110,38,3320,Midsized
Volkswagon,Tiguan,SUV,24.945,38.795,16,35,7,AWD,4.1,10.3,17.9,131,15.3,185,72,66,110,39,3860,Small
Volvo,S60,Sedan,36.050,64.800,17,39,5,AWD,3.0,7.3,15.5,125,14.5,187,80,57,113,38,3750,Small
Volvo,XC90,SUV,48.350,73.800,14,28,7,AWD,3.1,7.7,15.9,126,18.8,195,84,70,118,41,4595,Midsized
