Athlete,Country,Time,Minutes
Eliud Kipchoge ROTICH,KEN,2:08:44,128.73
Feyisa LILESA,ETH,2:09:54,129.9
Galen RUPP,USA,2:10:05,130.08
Ghirmay GHEBRESLASSIE,ERI,2:11:04,131.07
Alphonce Felix SIMBU,TAN,2:11:15,131.25
Jared WARD,USA,2:11:30,131.5
Tadesse ABRAHAM,SUI,2:11:42,131.7
Munyo Solomon MUTAI,UGA,2:11:49,131.82
Callum HAWKINS,GBR,2:11:52,131.87
Eric GILLIS,CAN,2:12:29,132.48
Abdi NAGEEYE,NED,2:13:01,133.02
Mumin GALA,DJI,2:13:04,133.07
Lemi BERHANU,ETH,2:13:29,133.48
Stephen KIPROTICH,UGA,2:13:32,133.53
Paulo Roberto PAULA,BRA,2:13:56,133.93
Satoru SASAKI,JPN,2:13:57,133.95
Kaan Kigen OZBILEN,TUR,2:14:11,134.18
Bayron PIEDRA,ECU,2:14:12,134.2
Sondre Nordstad MOEN,NOR,2:14:17,134.28
Oleksandr SITKOVSKYY,UKR,2:14:24,134.4
Amanuel MESEL,ERI,2:14:37,134.62
Koen NAERT,BEL,2:14:53,134.88
Reid COOLSAET,CAN,2:14:58,134.97
Lusapho APRIL,RSA,2:15:24,135.4
Thanackal GOPI,IND,2:15:25,135.42
Kheta RAM,IND,2:15:26,135.43
Chol PAK,PRK,2:15:27,135.45
Evans Kiplagat BARKOWET,AZE,2:15:31,135.52
Guojian DONG,CHN,2:15:32,135.53
Ihor OLEFIRENKO,UKR,2:15:36,135.6
Liam ADAMS,AUS,2:16:12,136.2
Paul POLLOCK,IRL,2:16:24,136.4
Mebrahtom KEFLEZIGHI,USA,2:16:46,136.77
Anuradha Indrajith COORAY,SRI,2:17:06,137.1
Abdi Hakin ULAD,DEN,2:17:06,137.1
Suehiro ISHIKAWA,JPN,2:17:08,137.13
Marius IONESCU,ROU,2:17:27,137.45
Ruggero PERTILE,ITA,2:17:30,137.5
Artur KOZLOWSKI,POL,2:17:34,137.57
Nicolas CUESTAS,URU,2:17:44,137.73
Pardon NDHLOVU,ZIM,2:17:48,137.8
Victor ARAVENA,CHI,2:17:49,137.82
Saidi Juma MAKULA,TAN,2:17:49,137.82
Florent CAELEN,BEL,2:17:59,137.98
Raul MACHACUAY,PER,2:18:00,138
Richer PEREZ,CUB,2:18:05,138.08
Michael SHELLEY,AUS,2:18:06,138.1
Ihor RUSS,UKR,2:18:19,138.32
Carles CASTILLEJO,ESP,2:18:34,138.57
Ernesto Andres ZAMORA,URU,2:18:36,138.6
Ercan MUSLU,TUR,2:18:40,138.67
Cristhian PACHECO,PER,2:18:41,138.68
Mariano MASTROMARINO,ARG,2:18:44,138.73
Daniel VARGAS,MEX,2:18:51,138.85
Philipp PFLIEGER,GER,2:18:56,138.93
Willem VAN SCHUERBEECK,BEL,2:18:56,138.93
Stefano LA ROSA,ITA,2:18:57,138.95
Cuthbert NYASANGO,ZIM,2:18:58,138.97
Marilson DOS SANTOS,BRA,2:19:09,139.15
Tewelde ESTIFANOS,ERI,2:19:12,139.2
Roman FOSTI,EST,2:19:26,139.43
Atef SAAD,TUN,2:19:50,139.83
Tiidrek NURME,EST,2:20:01,140.02
Kevin SEAWARD,IRL,2:20:06,140.1
Jesus ESPANA,ESP,2:20:08,140.13
Raul PACHECO,PER,2:20:13,140.22
Juan Carlos TRUJILLO,GUA,2:20:24,140.4
Abdelmajid EL HISSOUF,MAR,2:20:29,140.48
Stsiapan RAHAUTSOU,BLR,2:20:34,140.57
Mynhardt Mbeumuna KAWANIVI,NAM,2:20:45,140.75
Julian FLUGEL,GER,2:20:47,140.78
Daviti KHARAZISHVILI,GEO,2:20:47,140.78
Rachid KISRI,MAR,2:21:00,141
Maru TEFERI,ISR,2:21:06,141.1
Remigijus KANCYS,LTU,2:21:10,141.17
Christian KREIENBUHL,SUI,2:21:13,141.22
Mohamed HREZI,LBA,2:21:17,141.28
Solonei DA SILVA,BRA,2:22:05,142.08
Andres RUIZ,COL,2:22:09,142.15
Jackson KIPROP,UGA,2:22:09,142.15
Scott WESTCOTT,AUS,2:22:19,142.32
Guor MARIAL,SSD,2:22:45,142.75
Uladzislau PRAMAU,BLR,2:22:48,142.8
Nitendra SINGH,IND,2:22:52,142.87
Miguel Angel ALMACHI,ECU,2:23:00,143
Ilya TIAPKIN,KGZ,2:23:19,143.32
Gabor JOZSA,HUN,2:23:22,143.37
Gerald GIRALDO,COL,2:23:48,143.8
Luis Ariel MOLINA,ARG,2:23:55,143.92
Yonas KINDE,ROT,2:24:08,144.13
DUOBUJIE,CHN,2:24:22,144.37
Ser-Od BAT-OCHIR,MGL,2:24:26,144.43
Jordan CHIPANGAMA,ZAM,2:24:58,144.97
Hisanori KITAJIMA,JPN,2:25:11,145.18
Lebenya NKOKA,LES,2:25:13,145.22
Renxue ZHU,CHN,2:25:31,145.52
Sibusiso NZIMA,RSA,2:25:33,145.55
Daniel ESTRADA,CHI,2:25:33,145.55
Ambroise UWIRAGIYE,RWA,2:25:57,145.95
Chin-Ping HO,TPE,2:26:00,146
Mihail KRASSILOV,KAZ,2:26:11,146.18
David CARVER,MRI,2:26:16,146.27
Mick CLOHISSEY,IRL,2:26:34,146.57
Hakim SADI,ALG,2:26:47,146.78
Roman PRODIUS,MDA,2:27:01,147.02
Luis Alberto ORTA,VEN,2:27:05,147.08
Gantulga DAMBADARJAA,MGL,2:27:42,147.7
Enzo YANEZ,CHI,2:27:47,147.78
Gaspar CSERE,HUN,2:28:03,148.05
Martin Esteban CUESTAS,URU,2:28:10,148.17
Valdas DOPOLSKAS,LTU,2:28:21,148.35
Fabiano JOSEPH,TAN,2:28:31,148.52
Kamongwa Salukombo MAKOROBONDO,COD,2:28:54,148.9
Derek HAWKINS,GBR,2:29:24,149.4
Celestin NIHORIMBERE,BDI,2:29:38,149.63
Hristoforos MEROUSIS,GRE,2:29:39,149.65
Anton KOSMAC,SLO,2:29:48,149.8
Jose Amado GARCIA,GUA,2:30:11,150.18
Andjelko RISTICEVIC,SRB,2:30:17,150.28
Ricardo RAMOS,MEX,2:30:20,150.33
Tasama MOOGAS,ISR,2:30:30,150.5
Ageze GUADIE,ISR,2:30:45,150.75
Rui Pedro SILVA,POR,2:30:52,150.87
Segundo JAMI,ECU,2:31:07,151.12
Diego COLORADO,COL,2:31:20,151.33
Bekir KARAYEL,TUR,2:31:27,151.45
Nicolae-Alexandru SOARE,ROU,2:31:53,151.88
Yared SHEGUMO,POL,2:31:54,151.9
Mohammadjafar MORADI,IRI,2:31:58,151.97
Byambajav TSEVEENRAVDAN,MGL,2:36:14,156.23
Myeongjun SON,KOR,2:36:21,156.35
Michael KALOMIRIS,GRE,2:37:03,157.05
Boonthung SRISUNG,THA,2:37:46,157.77
Ricardo RIBAS,POR,2:38:29,158.48
Jorge CASTELBLANCO,PAN,2:39:25,159.42
Derlys AYALA,PAR,2:39:40,159.67
Federico BRUNO,ARG,2:40:05,160.08
Jungsub SHIM,KOR,2:42:42,162.7
Kuniaki TAKIZAKI,CAM,2:45:55,165.92
Methkal ABU DRAIS,JOR,2:46:18,166.3
