Year,Gender,Age,Hand,Height,Foot,Armspan,Languages,GetToSchool,TravelTime,ReactionTime,MemoryScore,Activity,Music,BirthMonth,Season,Allergies,Vegetarian,FavFood,Drink,FavSubject,Sleep1,Sleep2,Occupants,Communicate,TextsSent,HangHours,HWHours,SportsHours,VideoGameHours,ComputerHours,TVHours,WorkHours,SchoolPressure,Superpower,Preference
2013,Male,17,Right,165,26,165,1,Car,10,0.5,39,Golf,,December,Summer,Yes,No,Pizza/Pasta,Water,Physical education,8,10,3,Text,90,10,2,20,1,2,1,15,Very little,Freeze time,
2018,Male,18,Right,175,,172,3,Car,20,0.414,41,Swimming,Pop,June,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,9,2,Text,20,6,28,12,6,8,0,0,Some,Freeze time,Happy
2018,Female,17,Right,157,22,142,2,Car,10,0.5,35,Other,Rap/Hip hop,March,Spring,Yes,No,Pizza/Pasta,Coffee,History,8,11,3,Text,100,5,4,3,15,20,6,0,A lot,Telepathy,Healthy
2018,Female,17,Right,183,24.8,184,1,Car,10,0.421,36,Other,Pop,April,Spring,No,No,Breads/Sandwiches,Water,Science,7.5,9,4,Text,41,2,4,15,0,16,0,0,Some,Freeze time,
2017,Male,16,Right,167.6,22.9,170.2,2,Car,13,0.201,40,Other,Classical,March,Summer,Yes,No,Seafood,Milk,Music,7,9,4,App,13,8,40,5,5,24,0,0,Some,Freeze time,Happy
2012,Female,16,Left,157.4,19.5,123,1,Bus,25,0.446,42,Dancing,Other,October,Summer,No,No,Pizza/Pasta,Water,History,6,9,3,Phone,200,2,5,0,0,21,3,0,Some,Telepathy,Happy
2018,Female,17,Right,178,25,178,1,Car,7,0.335,48,Athletics,Pop,June,Fall,Yes,No,Pizza/Pasta,Water,English,7,9,3,In person,40,10,5,11,3,8,8,0,A lot,Fly,Happy
2016,Female,17,Right,163,23,159,3,Bus,7,,,Swimming,Classical,July,Winter,Yes,No,Seafood,,Mathematics and statistics,6,8,,Text,6,1,20,3,0,3,5,0,Some,Freeze time,Rich
2013,Female,17,Right,163.8,23.2,171.5,1,Bus,12,0.328,41,Dancing,Other,September,Fall,No,No,Pizza/Pasta,Water,Science,7,10,3,In person,1,6,10,5,0,10,1,10,Some,Telepathy,Happy
2011,Female,17,Right,167,23,169,2,Car,15,0.297,40,Lacrosse,Rock and roll,August,Winter,No,No,Fruit,Water,Social studies,7,9,3,Text,50,20,8,15,0,6,3,5,A lot,Fly,Healthy
2019,Male,17,Right,183,28,,1,Car,20,0.36,55,Football (American),Rap/Hip hop,September,Fall,No,No,Poultry,Water,Mathematics and statistics,8,10,3,App,30,6,7,21,10,60,2,0,Some,Freeze time,Happy
2017,Female,17,Left,165.1,23.5,165,2,Walk,12,0.342,34,Walking/Hiking,Rhythm and blues (R&B),February,Fall,Yes,Yes,Fruit,Coffee,History,6,10,25,Text,50,8,16,3,2,13,3,28,A lot,Invisibility,Happy
2014,Male,17,Right,172.7,25,175.2,1,Car,13,0.421,49,Athletics,Rap/Hip hop,April,Spring,Yes,No,Desserts,Water,Science,8,9,2,In person,10,10,4,15,3,10,5,0,A lot,Invisibility,Healthy
2013,Female,18,Right,153.5,21.7,166.9,1,Car,25,0.319,49,Tennis,Country,November,Fall,No,Yes,Pizza/Pasta,Water,English,7,10,5,Text,250,6,15,5,0,30,4,25,A lot,Fly,Rich
2018,Male,17,Right,182.9,26,183.5,2,Bus,30,0.392,51,Basketball,Rap/Hip hop,April,Spring,Yes,No,Meat,Water,Computers and technology,7,10,4,In person,5,5,14,2,3,40,4,20,Some,Freeze time,Rich
2013,Female,17,Right,165,24,165,1,Bus,15,0.464,54,Golf,Punk rock,August,Summer,No,No,Meat,Milk,Art,8,10,4,In person,100,5,7,14,1,4,7,9,Some,Fly,Healthy
2012,Male,18,Left,170,27,170,1,Car,25,0.302,37,Dancing,Classical,October,Winter,Yes,No,Desserts,Water,Science,6,12,3,Text,237,6,15,0,0,30,20,6,A lot,Telepathy,Rich
2013,Male,16,Left,177,27,180,1,Bus,60,0.532,61,Swimming,Other,March,Summer,No,No,Meat,Tea,Science,6,9,2,In person,0,0,0,4,0,21,10,0,Some,Fly,Rich
2017,Male,17,Right,180,27,181,1,Car,20,0.476,43,Martial Arts,Rhythm and blues (R&B),March,Spring,No,No,Meat,Water,History,7,10,3,Text,35,5,15,0,1,20,0,9,Very little,Freeze time,Happy
2013,Female,17,Right,169.5,26,172,2,Car,10,0.35,51,Other,Other,May,Summer,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,10,3,Text,30,3,15,6,0,5,10,11,A lot,Freeze time,Happy
2018,Female,17,Right,173,24,170,1,Car,5,0.37,49,None,Other,February,Fall,Yes,No,Poultry,Coffee,Science,4,7,2,App,100,4,5,0,11,20,6,0,A lot,Freeze time,Happy
2019,Female,17,Right,170,26,,1,Car,3,0.749,49,Swimming,Classical,August,Fall,Yes,No,Soups,Milk,Music,6,8,4,Text,40,30,3,0,15,70,10,7,A lot,Invisibility,Happy
2015,Male,17,Right,173,,,2,Car,12,0.365,46,Tennis,Rock and roll,February,Spring,No,No,Breads/Sandwiches,Juice,History,6.5,10,4,Text,3,5,5,2,5,3,3,30,Some,Invisibility,Happy
2018,Male,17,Right,178,25,,2,Bus,15,0.376,49,Martial Arts,Heavy metal,December,Fall,No,No,Rice/Noodle dishes,Water,Science,5,7,3,Text,15,6,10,0,0,70,4,0,Some,Telepathy,Rich
2015,Female,17,Right,172.7,22.86,171.5,1,Car,7,0.378,51,Hockey (Field),Pop,January,Fall,Yes,Yes,Desserts,Water,Social studies,8,9,4,Text,350,7,20,2,0,8,10,6,A lot,Fly,Happy
2019,Male,17,Right,170,25,173,1,Car,8,0.425,46,None,Pop,June,Summer,No,No,No favorite,Soft drink (non-caffeinated),Music,6,8,4,Text,5,10,3,2,3,10,0,0,A lot,Invisibility,Rich
2012,Female,17,Right,182,26,173,1,Car,15,0.482,46,Athletics,Pop,March,Spring,No,No,Pizza/Pasta,Water,Science,6,11,8,In person,6,10,15,12,0,3,3,0,A lot,Invisibility,Happy
2014,Female,18,Right,162.5,25.3,164,1,Car,12,0.479,45,Running/Jogging,Other,November,Fall,Yes,Yes,Fruit,Water,English,7,9,3,Text,20,20,10,15,0,15,5,20,A lot,Fly,Happy
2017,Female,17,Right,177.8,25,183,1,Bus,7,0.506,48,Swimming,Other,February,Winter,No,No,Desserts,Soft drink (caffeinated),History,6,8,5,App,5,7,4,3,0,16,2,0,A lot,Telepathy,Happy
2017,Male,18,Right,175,24,178,1,Car,10,0.342,45,Lacrosse,Rock and roll,August,Winter,No,No,Other,Water,Science,8,8,5,In person,50,10,10,15,4,2,3,9,A lot,Freeze time,Rich
2018,Female,17,Left,157.4,22,137.1,2,Car,15,0.246,33,Athletics,Rhythm and blues (R&B),October,Winter,Yes,No,Meat,Water,Science,7,10,4,Text,65,5,13,12,2,35,3,14,A lot,Invisibility,Healthy
2015,Male,16,Right,171,27,180,1,Car,15,0.433,50,Other,Techno/Electronic,June,Winter,No,No,Breads/Sandwiches,Coffee,Mathematics and statistics,7,7,4,Text,20,6,12,2,15,80,0,0,A lot,Freeze time,Happy
2014,Male,17,Right,165,24,168,2,Car,12,0.342,51,Other,Pop,October,Summer,Yes,No,Meat,Water,Science,6,8,3,Text,15,0,24,6,2,25,4,0,Some,Fly,Happy
2013,Female,17,Left,163,23,161,1,Car,10,0.359,40,Dancing,Pop,August,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,3,In person,5,5,15,8,0,4,5,2,Some,Invisibility,Happy
2014,Female,16,Right,163,24,160,3,Car,20,0.368,37,Other,Rhythm and blues (R&B),January,Spring,Yes,No,Other,Water,History,5.5,9,3,App,10,10,17,3,1,20,1,0,A lot,Freeze time,Healthy
2017,Female,18,Right,156,22,153,2,Bus,45,0.282,52,Dancing,Other,May,Summer,No,Yes,Pizza/Pasta,Coffee,Art,5,9,4,In person,50,40,7,7,0,50,14,0,Some,Fly,Famous
2012,Male,17,Right,183,30,195,1,Car,35,0.354,39,Tennis,Rap/Hip hop,September,Fall,Yes,No,Desserts,Soft drink (caffeinated),Science,6,8,5,Text,57,20,15,15,10,30,1,0,A lot,Freeze time,Happy
2016,Male,17,Right,186,,188,1,Car,10,0.391,45,Football (American),Country,June,Summer,No,No,Meat,Sports drink,Physical education,7,9,5,Text,100,8,1,5,3,1,6,0,Some,Invisibility,Happy
2018,Female,17,Left,160,23,170,1,Car,3,0.505,44,Football (American),Rap/Hip hop,August,Summer,Yes,No,Pizza/Pasta,Water,History,6.5,8,3,Text,867,25,5,2,1,10,14,15,Some,Telepathy,Happy
2010,Female,18,Right,168,24,168,1,Car,5,0.312,37,Hockey (Field),Other,October,Summer,No,No,Meat,Water,Social studies,7,10,4,Text,20,8,8,12,0,10,5,1,A lot,Fly,Happy
2013,Female,16,Left,150,20,143.5,2,Bus,7,0.485,49,Running/Jogging,Pop,January,Spring,Yes,No,Rice/Noodle dishes,Water,Art,6,8,4,In person,0,2,14,10,0,18,0,0,Some,Fly,Happy
2018,Male,18,Right,183.4,29,183.4,1,Car,20,0.417,51,Hockey (Ice),Rap/Hip hop,September,Summer,No,No,Meat,Sports drink,History,8,11,4,Text,130,30,4,5,4,50,4,0,Some,Fly,Rich
2012,Male,16,Right,172,26.6,173,2,Car,10,0.414,48,Soccer,Reggae,October,Summer,Yes,No,Meat,Water,Science,6,8,3,Text,20,24,30,12,1,14,24,4,A lot,Fly,Happy
2012,Female,17,Right,173,24,174,1,Car,10,0.39,42,Hockey (Field),Country,November,Fall,No,No,Fruit,Water,Mathematics and statistics,7.5,10,5,In person,40,7,12,12,0,1,0,0,Some,Fly,Happy
2018,Female,17,Right,163,24,162,2,Car,7,0.4,33,Swimming,Punk rock,July,Winter,No,No,Desserts,Tea,Science,8,9,2,App,0,0,30,0,3,60,3,0,A lot,Telepathy,Happy
2015,Male,16,Right,175,25,170,3,Bus,5,0.367,34,Martial Arts,Techno/Electronic,October,Spring,No,No,Rice/Noodle dishes,Water,Other,5,9,4,In person,3,3,5,2,7,21,0,0,Some,Freeze time,Rich
2013,Male,17,Right,174,24,175,1,Car,15,0.312,40,Skateboarding/Rollerblading,Jazz,November,Spring,Yes,No,Pizza/Pasta,Water,Science,8,9,3,Text,17,5,4.5,1,3.5,3.5,1,8,Some,Fly,Happy
2013,Female,17,Right,170.2,24.13,170.2,1,Car,8,0.52,51,Other,Rap/Hip hop,November,Summer,No,No,Soups,Milk,Art,7,9,4,Text,350,24,4,4,0,0,2,6,Some,Invisibility,Happy
2016,Female,17,Right,163,23,163,2,Car,5,0.485,45,Other,Rock and roll,November,Fall,No,No,Other,Water,Science,7,9,4,Text,140,3,15,2,0,8,2,0,A lot,Freeze time,Healthy
2017,Female,17,Right,167,23,167,2,Car,11,0.427,48,Dancing,Pop,October,Fall,No,No,Fruit,Water,Mathematics and statistics,7,8,3,Phone,50,5,5,13,3,7,5,20,Some,Invisibility,Happy
2012,Male,17,Right,187,29,197,1,Car,10,0.265,66,Football (American),Rhythm and blues (R&B),August,Summer,Yes,No,Meat,Water,Physical education,7,8,3,In person,75,6,0,12,3,2,35,10,None,Telepathy,Happy
2017,Male,17,Right,172.7,24.13,167.6,1,Bus,10,0.367,56,Swimming,Country,May,Fall,No,No,Seafood,Water,History,6,12,3,Text,50,10,15,10,15,3,2,0,A lot,Fly,Happy
2015,Male,18,Left,,27,,1,Car,2,0.328,45,Baseball/Softball,Country,January,Summer,No,No,Meat,Water,Physical education,7,9,5,Text,200,20,3,7,1,5,11,1,A lot,Fly,Rich
2015,Male,17,Right,168.9,24.1,163.8,1,Car,10,0.341,60,Other,Rap/Hip hop,October,Fall,Yes,No,Seafood,Coffee,Mathematics and statistics,7,9,,Text,500,1,16,0,0,40,10,0,Some,Invisibility,Rich
2018,Male,18,Right,170,18,162,2,Car,15,0.42,40,Baseball/Softball,Rap/Hip hop,December,Summer,Yes,No,Pizza/Pasta,,,5,10,3,App,13,7,4,13,8,5,3,15,Very little,Fly,Happy
2018,Male,16,Right,181.6,28,170,2,Bus,45,0.284,51,Other,Jazz,October,Fall,No,No,Meat,Water,Computers and technology,8.5,10,4,App,90,6,4,3,11,30,10,0,A lot,Telepathy,Happy
2018,Male,18,Right,183,25,,1,Car,10,0.69,58,Football (American),Rap/Hip hop,July,Summer,Yes,No,Meat,Water,Mathematics and statistics,6.5,8,7,Text,85,6,11,10,2,10,12,0,Some,Freeze time,Happy
2016,Male,17,Right,180,27,180,1,Car,12,,,Running/Jogging,Country,May,Spring,No,No,Salads,Soft drink (caffeinated),Social studies,6,,4,Text,255,10,20,5,8,15,0,20,A lot,Invisibility,Healthy
2018,Male,17,Right,193,33,193,1,Car,10,0.593,63,Basketball,Rap/Hip hop,May,Fall,Yes,No,Seafood,Water,Physical education,4,10,4,Phone,15,48,5,10,30,5,5,12,A lot,Fly,Happy
2018,Female,17,Right,172.7,23.5,176.8,1,Car,14,0.307,42,Dancing,Pop,May,Summer,Yes,No,Meat,Water,Mathematics and statistics,6,9,4,Text,150,15,30,25,0,30,5,0,A lot,Freeze time,Happy
2017,Male,17,Right,172.7,30.48,184,2,Walk,20,0.44,29,Football (American),Rap/Hip hop,December,Fall,No,No,Pizza/Pasta,Soft drink (caffeinated),History,7,10,5,In person,50,30,6,5,2,15,0,0,Some,Invisibility,Rich
2016,Male,16,Right,172.7,26.92,168.9,3,Car,7,0.338,,Other,Rap/Hip hop,May,Spring,Yes,No,Meat,Water,Social studies,5.8,7,4,Text,47,13,30,6,0.1,7,2,0,A lot,Telepathy,Happy
2012,Male,16,Right,165,25,175,4,Bus,15,0.265,31,None,Rap/Hip hop,October,Winter,No,No,Poultry,Water,Science,6,8,3,In person,5,10,50,6,4,50,10,0,Some,Freeze time,Happy
2013,Female,16,Right,162.5,19.05,166.3,2,Car,5,0.371,52,Running/Jogging,Other,November,Fall,No,No,Fruit,,English,6,10,4,In person,30,5,20,30,0,2,0,20,Some,Telepathy,Healthy
2013,Female,17,Right,166.5,24.4,167.5,2,Car,17,0.36,44,Swimming,Rap/Hip hop,October,Fall,Yes,No,Soups,Water,English,6.5,11,4,Text,75,9,6,7,0,28,7,15,A lot,Telepathy,Happy
2014,Male,16,Right,182.9,25,175.4,3,Car,8,0.249,38,Baseball/Softball,Pop,February,Spring,Yes,No,Meat,Water,Mathematics and statistics,6.5,8.5,3,Text,75,4.5,10,4.5,5,10,0,17,Some,Fly,Happy
2012,Female,17,Right,157,21,156,2,Car,15,0.39,32,Athletics,Pop,September,Summer,No,No,Desserts,Water,Art,6,10,5,In person,40,3,35,14,0,7,3,0,Some,Freeze time,Happy
2016,Female,16,Right,165,23,162,1,Bus,30,0.261,29,Dancing,Pop,June,Fall,Yes,No,Rice/Noodle dishes,Tea,Mathematics and statistics,6,9,2,Phone,100,10,11,10,0,30,0,10,A lot,Invisibility,Happy
2015,Male,18,Left,174,26,173,3,Bus,14,0.27,45,Other,Jazz,March,Winter,Yes,No,Meat,Water,Science,5,8,5,Text,20,1,15,1,1,1,1,0,None,Freeze time,Happy
2018,Male,15,Right,176,24,170,1,Car,6,0.342,38,Basketball,Rap/Hip hop,September,Spring,No,No,Poultry,Water,Mathematics and statistics,7.5,8.5,5,App,20,3,6,15,10,5,4,0,A lot,Invisibility,Happy
2012,Female,17,Right,173,25,172,1,Bus,15,0.387,44,Walking/Hiking,Other,July,Fall,No,No,No favorite,Water,History,7,10,5,Text,2,4,2,4,8,26,2,0,A lot,Telepathy,Happy
2016,Male,17,Right,175,28,180,2,Car,15,0.45,28,Rowing,Pop,June,Fall,Yes,No,No favorite,Milk,Mathematics and statistics,8.5,8.5,4,In person,0,5,5,5,1,8,2,0,Some,Telepathy,Happy
2016,Female,17,Right,165,22,165,1,Car,12,0.352,48,Swimming,Pop,July,Summer,No,No,Pizza/Pasta,Water,Science,6,7,5,Text,5,10,10,12,0,12,8,0,A lot,Freeze time,Rich
2014,Female,18,Right,175.3,24,175,1,Car,8,0.428,37,Other,Other,September,Spring,No,No,Seafood,Coffee,Mathematics and statistics,8,9,4,Text,40,3,7.5,8,0,2,5,3,A lot,Fly,Healthy
2018,Male,17,Right,180.7,27.8,181.6,2,Car,13,0.34,38,Golf,Rap/Hip hop,May,Summer,No,No,Rice/Noodle dishes,Water,History,5,10,3,Text,200,10,10,20,10,40,7,12,A lot,Fly,Happy
2014,Female,18,Right,155,22,163,1,Car,10,0.409,42,Baseball/Softball,Country,February,Summer,Yes,No,Pizza/Pasta,Juice,History,7,10,4,Text,100,10,3,4,0,25,25,30,Some,Telepathy,Happy
2019,Male,16,Right,177.8,27.5,174,1,Bus,15,0.642,37,Table Tennis,Rock and roll,November,Fall,No,No,Meat,Soft drink (non-caffeinated),Science,8,9.5,6,In person,8,9,6,4.5,2,15,8,0,Some,Fly,Happy
2015,Male,17,Left,165,26,145,1,Bus,10,0.356,45,Cycling,Other,September,Fall,Yes,No,Meat,Soft drink (non-caffeinated),Computers and technology,6,11,4,Text,20,14,7,10,21,30,5,0,A lot,Freeze time,Happy
2019,Female,17,Right,167,24,165,1,Car,10,0.659,34,Other,Punk rock,April,Fall,Yes,No,Pizza/Pasta,Water,English,6,10,3,In person,10,50,25,20,10,35,1,20,Some,Freeze time,Happy
2018,Female,17,Right,158,23,165,1,Bus,25,0.3,61,Tennis,Pop,August,Fall,No,No,Pizza/Pasta,Milk,Languages,6,9,4,App,50,8,15,20,0,28,7,0,A lot,Freeze time,Happy
2017,Male,17,Right,177.8,26,177.8,1,Car,15,0.436,46,Baseball/Softball,Country,October,Winter,Yes,No,Meat,Water,History,5,13,4,,1,1,3,16,0,10,5,15,None,Super strength,Rich
2011,Male,17,Right,178,26,185,2,Car,10,0.25,33,Table Tennis,Other,April,Summer,Yes,No,Rice/Noodle dishes,Water,History,6,8,3,App,1,3,15,2,2,12,5,11,Some,Telepathy,Happy
2013,Male,17,Right,196,30,193,1,Bus,13,0.3222,49,Lacrosse,Reggae,March,Spring,No,No,Other,Coffee,History,7,9,2,Phone,6,10,5,3,1,3,5,6,Some,Fly,Happy
2013,Male,19,Right,180,28,178,2,Bus,30,0.5,57,Soccer,Pop,March,Fall,No,No,Seafood,Water,Science,6,6,4,In person,0,0,28,7,2,,0,0,Some,Freeze time,Rich
2018,Male,17,Right,170,22.5,165,1,Car,15,0.427,38,Table Tennis,Other,October,Summer,No,No,Desserts,Water,Mathematics and statistics,8,9,5,Text,30,6,4,1,1,12,6,15,A lot,Invisibility,Happy
2016,Female,18,Right,165,,,1,Car,10,0.281,37,Dancing,Other,July,Spring,No,Yes,Salads,Water,Art,6,6,4,Text,40,48,0,0,0,20,3,6,Some,Telepathy,Happy
2017,Male,17,Left,167,24,172,2,Car,5,0.652,33,Bowling,Rap/Hip hop,December,Spring,No,No,Fruit,Water,Other,7,12,5,App,8,12,0,4,0,4,8,30,Some,Super strength,Famous
2019,Male,17,Right,195.5,24.5,167,1,Bus,15,0.401,44,Martial Arts,Classical,December,Winter,No,No,Poultry,Water,Computers and technology,6,10,3,Text,20,30,5,2,30,15,10,35,Very little,Telepathy,Happy
2016,Female,18,Right,160,22,,1,Car,7,1.286,43,Hockey (Field),Country,August,Summer,No,No,Seafood,Water,Mathematics and statistics,6.5,10,6,Text,120,21,1.5,8,4,8,30,6,Some,Fly,Healthy
2017,Female,18,Right,170,30,167,1,Car,5,0.803,68,Dancing,Reggae,October,Summer,Yes,No,Fruit,Water,Social studies,8,8,5,Text,0,10,2,1,0,4,0,30,Some,Freeze time,Happy
2012,Female,17,Right,160,23,160,1,Car,13,0.476,42,Tennis,Pop,June,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,6,Phone,70,10,10,10,0,7,12,0,Some,Freeze time,Happy
2016,Female,17,Right,165.1,23.8,160,1,Car,10,0.27,30,Basketball,Rhythm and blues (R&B),November,Winter,No,No,Pizza/Pasta,Milk,Other,7,11,3,Text,500,,5,10,2,,20,0,A lot,Telepathy,Rich
2014,Female,17,Right,160,19.02,158,1,Bus,15,0.446,49,Athletics,Rap/Hip hop,June,Spring,No,No,Poultry,Water,History,6,8,4,Phone,150,4,4,6,1,8,4,0,A lot,Telepathy,Happy
2017,Female,17,Both,164,24,162,1,Car,2,0.477,46,Other,Rhythm and blues (R&B),July,Summer,Yes,No,No favorite,Water,Art,10,9,4,App,3,1,12,10,0,0,0,20,Some,Telepathy,Happy
2016,Female,18,Right,163,19.2,162,2,Car,4,0.43,33,Swimming,Other,February,Fall,No,No,Pizza/Pasta,Water,Languages,6.5,8,4,Text,120,20,15,20,0,3,4,0,A lot,Freeze time,Rich
2013,Male,16,Right,181,28,188,2,Car,4,0.312,35,Other,Rhythm and blues (R&B),March,Spring,Yes,No,Poultry,Water,Mathematics and statistics,7,10,5,Text,20,3,14,5,1,4,0,0,Some,Invisibility,Healthy
2013,Female,17,Right,139.2,22.2,,1,Car,10,0.389,47,Swimming,Pop,April,Fall,No,No,Fruit,Water,Mathematics and statistics,8.5,10,4,Text,150,5,12,12,0,3,6,0,Some,Freeze time,Healthy
2019,Male,17,Right,169,29.2,184,1,Car,12,0.452,49,Baseball/Softball,Pop,September,Fall,No,No,Pizza/Pasta,Water,Social studies,7,8,3,Text,50,10,10,15,5,2,6,0,Some,Fly,Happy
2012,Male,17,Right,185.4,24.5,186,1,Car,10,0.278,39,Hockey (Ice),Country,May,Winter,No,No,Pizza/Pasta,Water,History,7,9,5,Text,132,40,11,6,0,12,5,0,Some,Fly,Happy
2018,Female,17,Right,154,23,138,1,Car,15,0.481,36,None,Rap/Hip hop,December,Summer,No,Yes,Pizza/Pasta,Coffee,Other,6,7,4,Text,100,20,5,5,0,,0,9,Very little,Telepathy,Healthy
2013,Female,17,Right,161.3,22.5,161.3,2,Car,15,0.344,33,Athletics,Rock and roll,August,Fall,Yes,Yes,Pizza/Pasta,Water,Art,6,10,5,In person,20,12,10,21,0,2.5,10,0,A lot,Fly,Happy
2010,Male,18,Right,183,27,189,1,Car,5,0.343,49,Basketball,Other,December,Spring,No,Yes,Pizza/Pasta,Juice,History,9,6,5,In person,250,50,7,15,15,15,15,0,Some,Invisibility,Happy
2014,Male,17,Right,181,28,180,2,Car,5,0.422,54,Golf,Rap/Hip hop,April,Summer,Yes,No,Fruit,Water,History,7,10,4,In person,100,10,5,10,2,7,5,0,A lot,Fly,Famous
2018,Female,16,Right,161,22,165,1,Car,9,0.317,42,None,Country,November,Fall,Yes,No,Rice/Noodle dishes,Water,Science,5,8,6,In person,30,10,40,0,0,10,0,25,A lot,Invisibility,Happy
2010,Male,17,Both,175,27,182,1,Car,45,0.266,42,Lacrosse,Techno/Electronic,March,Summer,No,No,Meat,Sports drink,Science,5,13,3,Text,100,20,15,17,2,25,10,0,Some,Fly,Rich
2015,Male,17,Left,180.3,28,179,1,Car,15,0.401,54,Baseball/Softball,Rap/Hip hop,June,Summer,No,No,Meat,Water,Physical education,7,12,3,Text,120,15,5,18,3,7,10,0,Some,Super strength,Happy
2019,Male,17,Left,180,,180,1,Car,10,0.567,44,Golf,Rap/Hip hop,April,Summer,Yes,No,Pizza/Pasta,Water,Physical education,7,11,4,Text,20,24,2,24,1,2,5,10,None,Telepathy,Famous
2019,Female,17,Right,168,26,168,1,Car,6,0.401,51,Other,Pop,October,Fall,Yes,No,Pizza/Pasta,Water,Art,8.5,10.5,4,In person,17,50,2,20,1,1,2,1,Some,Super strength,Famous
2017,Male,17,Right,178,,181,2,Bus,30,0.395,45,Basketball,Rock and roll,August,Spring,No,No,Meat,Water,Science,4,10,4,Text,2,1,8,2,3,10,0,0,Some,Freeze time,Rich
2016,Male,17,Right,184,27,182,1,Car,15,0.286,38,Walking/Hiking,Rap/Hip hop,May,Fall,No,No,Meat,Water,Mathematics and statistics,7,10,5,In person,10,10,5,5,1,2,0,15,Very little,Invisibility,Rich
2018,Male,17,Right,181,26,182,1,Bus,15,0.4,46,Other,Rap/Hip hop,September,Summer,No,No,Fruit,Water,Physical education,7.5,9,3,Text,60,7,5,3,3,10,5,0,Some,Telepathy,Happy
2016,Male,16,Right,172.7,23,,1,Bus,40,0.324,60,Baseball/Softball,Rap/Hip hop,November,Spring,Yes,No,Fruit,Other,Other,7,6,5,Text,15,24,3,25,10,5,5,0,Some,Telepathy,Rich
2016,Female,17,Right,163,23,171,3,Car,11,0.375,57,Other,Jazz,March,Fall,Yes,No,Desserts,Water,Social studies,6.5,11,4,Text,27,4,25,9,0,35,21,3,Some,Freeze time,Rich
2011,Female,18,Right,173.8,24.2,172.7,1,Car,15,0.422,29,Other,Rock and roll,October,Fall,No,Yes,No favorite,Juice,English,5,9,3,Text,75,8,21,1,5,12,8,0,A lot,Freeze time,Happy
2016,Male,17,Right,183,28,183,3,Car,11,0.285,,Rowing,Rap/Hip hop,July,Summer,No,No,Seafood,Water,History,6,10,6,Text,70,5,15,18,0,4,2,5,A lot,Fly,Happy
2010,Male,18,Right,171,26,177,1,Car,15,0.25,36,Athletics,Country,September,Summer,No,No,Meat,Milk,Physical education,7,8,4,Text,100,8,0,18,1,6,8,11,None,Fly,Happy
