Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
Greece,128.900,10.7,83.2,20324,20.9,6.18,1.54,4.92,10.32,146.0,69.9,115.9,0.2,2.5,4.6,8.2,11.6,20.6,81.4,60.5,19.2,2124,5063,3
Luxembourg,2.430,0.6,250.1,114340,9,17.36,1.19,1.40,11.88,2.0,97.8,136.1,0.3,2.5,4.4,10.4,7.1,14.5,82.7,65.8,5.5,6861,13915,3
Tonga,0.720,0.1,143.3,4364,76.9,1.2,,,8.04,,41.2,99.9,,,15.4,23.6,6.0,5.8,73.2,47.4,1,,,
Paraguay,397.300,7.0,17.5,5871,38.4,0.86,1.04,4.82,16.18,27.0,61.1,109.6,0.5,11.2,8.3,20.7,5.8,6.6,73.2,60.5,4.7,783,1552,1
Zambia,743.390,17.4,23.3,1540,56.5,0.29,1.4,5.66,7.13,16.0,27.9,78.6,11.5,44.5,3.9,37.8,7.6,2.5,62.3,71.7,7.2,,717,1
Cuba,104.020,11.3,109,,23,3.08,,,17.26,76.0,49.1,40.2,0.4,2.5,8.3,10.8,8.1,15.2,79.9,48.9,2.3,1035,1451,1
Malawi,94.280,18.1,192.4,389,83.1,0.08,1.15,3.11,9.83,15.0,13.8,41.7,9.6,26.3,3.9,36.4,7.1,2.9,63.7,74.4,5.4,,,
Kuwait,17.820,4.1,232.2,34244,0,25.85,0.35,11.01,6.21,25.0,98.0,172.6,0.1,2.5,15.8,16.0,2.8,2.5,74.8,58.8,2.1,9179,15591,3
"Bahamas, The",10.010,0.4,38.5,,17,6.52,0.92,,15.98,1.0,85.0,89.4,1.9,,13.2,14.1,6.4,9.4,75.8,75.6,11.9,,,
Guinea-Bissau,28.120,1.9,66.7,778,56.6,0.16,,,12.88,4.0,3.9,77.1,3.4,26.0,2.4,36.0,10.3,3.1,57.8,68.6,4.1,,,
Madagascar,581.800,26.3,45.1,461,62.8,0.13,1.11,3.54,17.83,22.0,9.8,34.1,0.3,43.1,3.9,32.9,6.2,3.0,66.3,85,1.7,,,
Georgia,69.490,3.7,65.3,4345,41.4,2.42,0.76,6.61,10.29,26.0,60.5,140.7,0.4,7.4,7.1,13.2,13.2,15.0,73.4,63.4,14.1,1180,2694,2
Tajikistan,138.790,9.1,65.6,827,72.9,0.63,0.71,,5.04,17.0,22.0,111,0.3,,7.1,28.3,5.1,3.6,71.2,29.3,10.9,340,1499,1
Croatia,55.960,4.1,73.1,14869,43.1,3.97,1.26,3.10,11.97,18.0,67.1,103,,2.5,5.6,8.9,13.0,20.1,77.8,62,8.9,1898,3714,2
France,547.560,67.0,122.3,41464,19.6,4.57,1.39,4.10,16.97,307.0,80.5,106.2,0.5,2.5,4.8,11.4,9.0,20.1,82.5,67.5,9.2,3659,6940,3
Iraq,434.130,38.4,88.5,5878,29.5,4.89,0.61,8.40,1.70,209.0,49.4,87.3,,27.7,8.8,32.8,5.0,3.3,70.0,13.0,7.9,1438,1328,1
Cameroon,472.710,25.2,53.3,1527,43.6,0.31,1.03,6.03,2.95,24.0,23.2,83.7,3.7,7.3,7.2,35.8,9.8,3.2,58.6,72.1,3.4,335,275,1
"Iran, Islamic Rep.",1628.760,81.8,50.2,,25.1,8.38,0.40,15.78,22.60,563.0,60.4,107.2,0.1,4.9,9.6,15.9,4.5,5.7,76.2,17.9,12,3060,3022,2
Czech Republic,77.220,10.6,137.6,22973,26.2,9.17,1.17,2.76,14.83,23.0,78.7,119,0.1,2.5,6.8,10.8,10.5,19.5,79.5,69.3,2.4,3915,6259,3
United Arab Emirates,71.020,9.6,135.6,43005,13.5,22.94,0.49,,7.89,63.0,94.8,210.9,,2.5,17.3,9.3,1.6,1.2,77.4,52.0,2.6,7648,11088,3
Indonesia,1811.570,267.7,147.8,3894,44.7,1.82,0.63,4.29,8.31,676.0,32.3,164.9,0.4,7.7,6.3,18.6,7.2,5.5,69.4,54.3,4.3,884,812,1
Bhutan,38.140,0.8,19.8,3360,59.1,1.39,0.98,,8.30,,48.1,90.5,,,9.8,17.9,6.0,5.0,70.6,60.7,2.2,,,
Lithuania,62.640,2.8,44.5,19090,32.3,4.38,1.16,5.84,12.8,34.0,77.6,150.9,0.2,2.5,3.7,10.1,14.2,19.2,74.7,74.8,6,2387,3821,2
"Egypt, Arab Rep.",995.450,98.4,98.9,2549,57.3,2.23,0.40,4.14,4.22,836.0,45.0,105.5,0.1,4.8,17.3,25.7,5.9,5.2,71.7,24.7,11.4,827,1683,1
Haiti,27.560,11.1,403.6,868,44.7,0.27,0.81,0.00,4.42,0.0,12.3,57.4,1.9,45.8,6.7,23.8,8.5,4.9,63.6,64.8,13.5,394,39,1
Libya,1759.540,6.7,3.8,7235,19.9,8.96,0.11,,0.00,,21.8,94.4,,,10.4,19.1,5.2,4.5,72.1,27.3,17.3,2809,1811,1
Belarus,202.990,9.5,46.7,6290,21.4,6.7,0.60,31.90,8.47,155.0,74.4,120.6,0.4,2.5,5.2,10.8,12.6,15.0,74.1,74.6,5.7,2929,3680,2
Turkey,769.630,82.3,107,9311,24.9,4.48,1.42,7.10,9.65,512.0,64.7,96.4,,2.5,12.1,16.0,5.8,8.4,76.0,37.5,10.9,1574,2847,2
Nigeria,910.770,195.9,215.1,2028,49.7,0.55,0.46,4.05,5.01,215.0,27.7,75.9,2.8,11.5,2.4,38.4,12.2,2.7,53.9,50.5,6,764,145,1
Singapore,0.710,5.6,7953,64582,0,10.31,1.25,17.09,13.56,81.0,84.4,146.8,0.2,,11.0,8.9,5.0,13.6,82.9,69.1,3.8,5122,8845,3
Chad,1259.200,15.5,12.3,730,76.9,0.05,0.78,14.64,5.90,35.0,6.5,42.7,1.3,39.7,6.1,42.8,12.7,2.5,53.2,65.2,2.2,,,
Montenegro,13.450,0.6,46.3,8761,33.2,3.56,1.16,3.24,12.06,12.0,71.3,166.1,0.1,2.5,10.1,11.2,9.9,15.3,77.3,53.7,15.5,1538,4612,2
Latvia,62.180,1.9,31,18089,31.9,3.5,1.16,5.19,9.18,6.0,81.3,126.4,,2.5,4.9,10.7,14.8,20.0,74.7,74.7,7.9,2177,3507,2
Bosnia and Herzegovina,51.200,3.3,64.9,5951,51.8,6.38,1.05,2.74,15.44,11.0,69.5,98.1,,2.5,10.1,9.2,11.2,17.0,77.1,45.2,20.8,2247,3447,2
Samoa,2.830,0.2,69.3,4392,81.8,1.03,0.91,,12.48,,33.6,63.2,,3.1,9.2,24.3,5.0,5.8,75.2,25.4,8.3,,,
Poland,306.190,38.0,124,15424,39.9,7.52,1.07,4.76,11.04,191.0,76.0,132.2,,2.5,5.9,10.6,10.6,17.3,77.9,63.1,3.7,2473,3972,2
Kenya,569.140,51.4,90.3,1711,73,0.31,0.95,4.81,6.06,29.0,17.8,86.1,4.8,24.2,2.9,30.9,5.7,2.7,67.3,64.1,9.3,506,164,1
Oman,309.500,4.8,15.6,16419,15.5,15.19,0.45,19.00,7.57,47.0,80.2,149.8,,5.4,12.6,17.9,2.5,2.4,77.3,32.4,3.1,6041,6446,3
Namibia,823.290,2.5,3,5931,50,1.65,0.76,8.80,13.80,16.0,36.8,105.8,12.1,25.4,3.9,28.7,7.1,3.6,64.9,58.7,23.1,794,1653,1
China,9388.210,1392.7,148.3,9771,40.8,7.54,0.96,5.49,9.05,2695,54.3,104.3,,8.7,9.7,12.4,7.1,11.2,76.4,69,4.4,2237,3927,2
Malta,0.320,0.5,1511,30075,5.4,5.4,1.36,1.28,15.82,2.0,80.1,140.4,,2.5,8.8,9.2,7.6,19.9,82.5,57.4,4.6,1782,4925,2
Timor-Leste,14.870,1.3,85.3,2036,69.4,0.4,1.10,1.41,3.22,2.0,27.5,120.1,,27.2,6.9,34.6,5.4,3.6,69.2,25.6,3,,,
Peru,1280.000,32.0,25,6947,22.1,2.05,0.99,5.57,15.71,158.0,48.7,121,0.3,8.8,6.0,18.9,5.7,7.3,75.2,73.3,2.8,790,1346,1
Niger,1266.700,22.4,17.7,412,83.6,0.11,0.88,9.49,5.69,10.0,10.2,40.9,0.3,14.4,2.4,47.8,9.5,2.6,60.4,68.9,0.3,150,51,1
Cambodia,176.520,16.3,92.1,1512,76.6,0.44,0.9,9.17,6.16,191.0,34.0,116,0.5,18.5,4.0,22.9,6.0,4.6,69.3,77.2,1,417,271,1
Guyana,196.850,0.8,4,4635,73.4,2.63,0.90,4.39,7.72,3.0,37.3,82.7,1.7,7.5,11.6,20.4,8.3,5.4,66.8,44.3,12.2,,,
Norway,365.120,5.3,14.6,81807,17.8,9.27,1.78,3.41,17.59,23.0,96.5,107.9,0.1,2.5,5.3,10.7,7.7,17.0,82.5,75.2,3.9,5596,23000,3
Comoros,1.860,0.8,447.2,1445,71,0.2,,,3.63,,8.5,57.6,0.1,,11.9,32.4,7.3,3.0,63.9,38.4,3.7,,,
Portugal,91.610,10.3,112.2,23146,34.8,4.33,1.54,4.08,13.40,52.0,73.8,113.9,0.6,2.5,9.9,8.4,10.6,21.9,81.1,71.8,6.9,2035,4663,2
Finland,303.91,5.52,18.2,49960,14.6,8.66,1.45,2.65,13.12,25,87.5,132.3,,2.5,5.8,9.1,9.8,21.6,81.4,75.1,7.8,6213,15250,3
